date	category	item	amount_jpy	quantity	unit_price_jpy	status	cost_scope	note
2026-07-25	結婚相談所	ZWEI IBJプラン初期費用	111100	1	111100	支払済	direct	通常129800円から初月月会費18700円分を割引。その場で契約
	結婚相談所	ZWEI IBJプラン月会費		1	18700	継続	recurring	月額18700円の料金定義。初月分は初期費用で割引済み。実際に請求された月は実績行で管理する
	婚活用衣類	ユニクロ エアリズムデオドラントメッシュVネックT	2970	3	990	実績	direct	購入日は未確定
	婚活用衣類	ユニクロ スーパーノンアイロンスリムシャツ レギュラー襟	8970	3	2990	実績	direct	購入日は未確定
	婚活用衣類	ユニクロ スーピマコットンワイドリブソックス	990	3		実績	direct	390円/点の表示あり。実際の購入額は3点セット990円。購入日は未確定
	婚活用衣類	スーツクリーニング	3270	1	3270	実績	direct	実施日は未確定
	婚活用衣類	スーツ用靴				予定	planned	必要になれば購入。現時点では未購入・金額未確定
2026-06-18	身だしなみ	美容院 カット＋カラー（黒）	9900	1	9900	実施済	self_investment	婚活開始を契機にした身だしなみ改善
2026-07-30	身だしなみ	美容院 カット＋カラー（黒）	9900	1	9900	実施済	direct	2026-08-01のプロフィール写真撮影に合わせ、通常の約半分の周期で来店
	身だしなみ	眉毛サロン	5900	1	5900	支払済	direct	プロフィール写真等に向けた身だしなみ。日付は未確定
2026-08-01	プロフィール準備	ZWEI登録用プロフィール写真撮影	13750	1	13750	支払済	direct	ZWEI登録用
	全身脱毛	全身脱毛契約	365000	1	365000	支払済	self_investment	契約日は未確定。一括契約額はこの行でのみ計上する
2026-06-29	全身脱毛	全身脱毛 1回目（顔・下半身）	0	1	0	実施済	progress	契約料金内。追加費用0円
2026-07-13	全身脱毛	全身脱毛 2回目（顔・上半身）	0	1	0	実施済	progress	契約料金内。追加費用0円
2026-08-18	全身脱毛	全身脱毛 3回目（顔・下半身）	0	1	0	予定	progress	契約料金内。追加費用0円。完了情報が入力されるまで実施済みにしない
	衣類	ユニクロ スリムストレートジーンズ	4990	1	4990	実績	self_investment	普段着としても使用。購入日は未確定
	眼鏡	眼鏡買い替え	13200	1	13200	実績	self_investment	日常用途もある。購入日は未確定
	健康管理	歯科定期健診	2510	1	2510	除外	excluded	通常の健康管理のため婚活費から除外。日付は未確定。重複登録しない
2026-07-21	書類準備	独身証明書取り寄せ関連費	600	2	200	金額確定	direct	1枚あたり200円を2枚、1回あたりの手数料200円。合計600円
