date	phase	event	status	days_from_activity_start	note
2026-07-21	書類準備	独身証明書取り寄せ用の封筒を投函	完了	-13	同日にコンビニで免許証コピーを取得
2026-07-25	相談・契約	ZWEI無料相談、その場でIBJプランを契約	完了	-9	
2026-07-31	書類準備	独身証明書到着	完了	-3	2026-07-21の投函から2026-07-31に到着
2026-08-01	プロフィール準備	プロフィール写真撮影	完了	-2	撮影料金13750円
2026-08-02	登録申請	必要書類がすべて揃い、ZWEIで登録ボタンを押した	完了	-1	
2026-08-03	活動開始	ZWEI登録完了。同時にIBJシステムにも登録完了	完了	0	この日を活動開始日として扱う
2026-08-06	申し受け	IBJで1件目の申し受け	保留	3	IBJガイダンス前のため、その時点では回答せず保留。返答期限は2026-08-14
2026-08-08	申し受け	IBJで2件目の申し受け	保留	5	IBJガイダンス前のため、その時点では回答せず保留。返答期限は2026-08-15
2026-08-08	初期ガイダンス	IBJガイダンス	完了	5	ガイダンス中に3件目の申し受けがあった模様
2026-08-08	申し受け	IBJで3件目の申し受け	保留	5	IBJガイダンス中にあった模様。返答期限は2026-08-18
2026-08-08	申し受け	ZWEIで4件目の申し受け	承諾済	5	Zips（ZWEIアプリ）のインプレッションマッチング経由。2026-08-09に承諾
2026-08-08	活動目標	毎月4名とのお見合いを継続	目標	5	お見合い自体の月間目標
2026-08-08	活動目標	2027年8月までに成婚	目標	5	期限は月単位。具体的な日付は未設定
2026-08-08	本格活動開始	本格的な活動を開始	開始	5	2026年8月を本格的な活動開始月とする
2026-08-09	申し受け対応	ZWEIの4件目を承諾し、挨拶を送信	進展なし	6	挨拶送信後はまだ進展なし
